"Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Hrcek","MA","MA12",0.248704663333333,0.260287283333852,0.147668394,0.10880829,0.777202073,0.106261838450528,1.04657178456278,0.155440415
"Hrcek","MA","MA13",0.515964239833333,0.26644931765317,0.536398467,0.199233716,0.812260536,0.108777478427169,0.516410435225586,0.245210728
"Hrcek","MA","MA18",0.4921875,0.332449185496821,0.5,0.015625,0.9375,0.135721811645181,0.675452313390367,0.9375
"Hrcek","MA","MA19",0.416,0.234222469766398,0.392727273,0.058181818,0.654545455,0.104747472851111,0.563034783092302,0.654545455
"Hrcek","MA","MA20",0.208888888833333,0.134307551804445,0.2,0.08,0.373333333,0.0548308284205514,0.642961684341216,0.08
"Hrcek","MA","MA3",0.188933873333333,0.115726226908593,0.178137652,0.08097166,0.340080972,0.0472450342972662,0.612522386096531,0.08097166
"Hrcek","MA","MA5",0.368098159666667,0.284493285883557,0.282208589,0.049079755,0.785276074,0.116143897610409,0.772873426319711,0.785276074
"Hrcek","MA","MA7",0.15458937175,0.0756672469326369,0.144927536,0.077294686,0.251207729,0.0378336234663184,0.48947250432588,0.251207729
"Hrcek","MU","MU1",0.105527638333333,0.0657120445346538,0.075376884,0.060301508,0.180904523,0.037938866601083,0.62269984975014,0.180904523
"Hrcek","MU","MU10",0.2417021276,0.181896851105163,0.204255319,0.05106383,0.544680851,0.0813467447928603,0.752566197539598,0.204255319
"Hrcek","MU","MU11",0.1333333335,0.0938905054306747,0.1181818185,0.036363636,0.272727273,0.038330638332861,0.704178789849836,0.2
"Hrcek","MU","MU5",0.295652174,0.352361732110561,0.173913043,0,0.886956522,0.157580957133757,1.19181174061166,0.886956522
"Hrcek","MU","MU6",0.279069767333333,0.0838500292749531,0.302325581,0.186046512,0.348837209,0.0484108369734522,0.300462605018762,0.302325581
"Hrcek","RE","RE1",0.203247617,0.226215379253281,0.139751553,0.022900763,0.913043478,0.0604586031989218,1.11300384522236,0.030075188
"Hrcek","RE","RE10",0.168929110166667,0.0664198321680861,0.1628959275,0.07239819,0.271493213,0.0271157829355178,0.393181684924261,0.14479638
"Hrcek","RE","RE11",0.675531915,0.19759761291994,0.7021276595,0.446808511,0.85106383,0.0987988064599699,0.292506702544083,0.85106383
"Hrcek","RE","RE12",0.223076923,0.286686848714822,0.069230769,0.046153846,0.553846154,0.165518729278628,1.28514794295788,0.553846154
"Hrcek","RE","RE2",0.0857142856666667,0.18339207464237,0,0,0.457142857,0.0748695009573688,2.13957420534964,0
"Hrcek","RE","RE4",0.08247422675,0.0606993873717617,0.0824742265,0.020618557,0.144329897,0.0303496936858809,0.735980072365598,0.144329897
"Hrcek","RE","RE6",0.232415902333333,0.186999995128938,0.2201834865,0.036697248,0.550458716,0.0763424283281398,0.804592083637809,0.036697248
"Hrcek","RE","RE7",0.178861788666667,0.0921249786566305,0.170731707,0.073170732,0.317073171,0.0376098650455893,0.51506238053069,0.195121951
"Hrcek","UM","UM13",0.2763385145,0.405215357961269,0.0932642485,0.041450777,1.077720207,0.16542847715739,1.46637307758007,0.041450777
"Hrcek","UM","UM17",0.263982102833333,0.253213806676011,0.1879194635,0.053691275,0.751677852,0.103374103697329,0.959208234036529,0.751677852
"Hrcek","UM","UM2",0.590643274833333,0.286704815437185,0.6228070175,0.087719298,0.929824561,0.117046750769988,0.485411123182748,0.649122807
"Hrcek","UM","UM20",0.298387097,0.201666659632557,0.306451613,0.048387097,0.532258065,0.100833329816278,0.675855831770623,0.35483871
"Hrcek","UM","UM4",0.6222222222,0.382082189183016,0.65497076,0,1.005847953,0.170872349601032,0.614060661208921,1.005847953
"Hrcek","UM","UM7",0.388020833333333,0.238897342187323,0.4453125,0,0.625,0.0975294315443349,0.61568174093914,0.21875
"Hrcek","UM","UM8",0.202614379,0.190179980816576,0.1699346405,0.026143791,0.444444444,0.0950899904082881,0.938630228294785,0.026143791
