"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Hrcek","NS",NA,"MU","MU6",3,"Hrcek_3_MU6_5; Hrcek_3_MU6_6; Hrcek_3_MU6_7",3,1,"3"
"Hrcek","NS",NA,"RE","RE1",14,"Hrcek_1_RE1_10; Hrcek_1_RE1_4; Hrcek_1_RE1_5; Hrcek_1_RE1_6; Hrcek_1_RE1_7; Hrcek_1_RE1_8; Hrcek_1_RE1_9; Hrcek_3_RE1_5; Hrcek_3_RE1_6; Hrcek_3_RE1_7; Hrcek_3_RE1_8; Hrcek_4_RE1_4; Hrcek_4_RE1_5; Hrcek_4_RE1_6",14,3,"1; 3; 4"
"Hrcek","NS",NA,"RE","RE10",6,"Hrcek_1_RE10_10; Hrcek_1_RE10_5; Hrcek_1_RE10_6; Hrcek_1_RE10_7; Hrcek_1_RE10_8; Hrcek_1_RE10_9",6,1,"1"
"Hrcek","NS",NA,"RE","RE11",4,"Hrcek_3_RE11_4; Hrcek_3_RE11_5; Hrcek_3_RE11_6; Hrcek_3_RE11_7",4,1,"3"
"Hrcek","NS",NA,"RE","RE12",3,"Hrcek_3_RE12_4; Hrcek_3_RE12_5; Hrcek_3_RE12_6",3,1,"3"
"Hrcek","NS",NA,"RE","RE2",6,"Hrcek_3_RE2_10; Hrcek_3_RE2_5; Hrcek_3_RE2_6; Hrcek_3_RE2_7; Hrcek_3_RE2_8; Hrcek_3_RE2_9",6,1,"3"
"Hrcek","NS",NA,"RE","RE4",4,"Hrcek_1_RE4_5; Hrcek_1_RE4_6; Hrcek_1_RE4_7; Hrcek_1_RE4_8",4,1,"1"
"Hrcek","NS",NA,"RE","RE6",6,"Hrcek_3_RE6_10; Hrcek_3_RE6_5; Hrcek_3_RE6_6; Hrcek_3_RE6_7; Hrcek_3_RE6_8; Hrcek_3_RE6_9",6,1,"3"
"Hrcek","NS",NA,"RE","RE7",6,"Hrcek_3_RE7_10; Hrcek_3_RE7_5; Hrcek_3_RE7_6; Hrcek_3_RE7_7; Hrcek_3_RE7_8; Hrcek_3_RE7_9",6,1,"3"
"Hrcek","NS",NA,"UM","UM13",6,"Hrcek_1_UM13_10; Hrcek_1_UM13_5; Hrcek_1_UM13_6; Hrcek_1_UM13_7; Hrcek_1_UM13_8; Hrcek_1_UM13_9",6,1,"1"
"Hrcek","NS",NA,"UM","UM17",6,"Hrcek_1_UM17_10; Hrcek_1_UM17_5; Hrcek_1_UM17_6; Hrcek_1_UM17_7; Hrcek_1_UM17_8; Hrcek_1_UM17_9",6,1,"1"
"Hrcek","NS",NA,"UM","UM2",6,"Hrcek_3_UM2_10; Hrcek_3_UM2_5; Hrcek_3_UM2_6; Hrcek_3_UM2_7; Hrcek_3_UM2_8; Hrcek_3_UM2_9",6,1,"3"
"Hrcek","NS",NA,"UM","UM20",4,"Hrcek_3_UM20_10; Hrcek_3_UM20_5; Hrcek_3_UM20_8; Hrcek_3_UM20_9",4,1,"3"
"Hrcek","NS",NA,"UM","UM4",5,"Hrcek_1_UM4_5; Hrcek_1_UM4_6; Hrcek_1_UM4_7; Hrcek_1_UM4_8; Hrcek_1_UM4_9",5,1,"1"
"Hrcek","NS",NA,"UM","UM7",6,"Hrcek_3_UM7_10; Hrcek_3_UM7_5; Hrcek_3_UM7_6; Hrcek_3_UM7_7; Hrcek_3_UM7_8; Hrcek_3_UM7_9",6,1,"3"
"Hrcek","NS",NA,"UM","UM8",4,"Hrcek_4_UM8_5; Hrcek_4_UM8_6; Hrcek_4_UM8_7; Hrcek_4_UM8_8",4,1,"4"
"Hrcek","NS",NA,"VA","VA11",6,"Hrcek_3_VA11_10; Hrcek_3_VA11_5; Hrcek_3_VA11_6; Hrcek_3_VA11_7; Hrcek_3_VA11_8; Hrcek_3_VA11_9",6,1,"3"
"Hrcek","NS",NA,"VA","VA15",15,"Hrcek_1_VA15_10; Hrcek_1_VA15_5; Hrcek_1_VA15_6; Hrcek_1_VA15_8; Hrcek_1_VA15_9; Hrcek_3_VA15_5; Hrcek_3_VA15_6; Hrcek_3_VA15_7; Hrcek_3_VA15_8; Hrcek_4_VA15_10; Hrcek_4_VA15_5; Hrcek_4_VA15_6; Hrcek_4_VA15_7; Hrcek_4_VA15_8; Hrcek_4_VA15_9",15,3,"1; 3; 4"
"Hrcek","NS",NA,"VA","VA22",6,"Hrcek_3_VA22_10; Hrcek_3_VA22_5; Hrcek_3_VA22_6; Hrcek_3_VA22_7; Hrcek_3_VA22_8; Hrcek_3_VA22_9",6,1,"3"
"Hrcek","NS",NA,"VA","VA30",6,"Hrcek_1_VA30_10; Hrcek_1_VA30_5; Hrcek_1_VA30_6; Hrcek_1_VA30_7; Hrcek_1_VA30_8; Hrcek_1_VA30_9",6,1,"1"
"Hrcek","NS",NA,"VA","VA35",6,"Hrcek_4_VA35_1; Hrcek_4_VA35_10; Hrcek_4_VA35_6; Hrcek_4_VA35_7; Hrcek_4_VA35_8; Hrcek_4_VA35_9",6,1,"4"
"Hrcek","NS",NA,"VA","VA6",6,"Hrcek_4_VA6_10; Hrcek_4_VA6_5; Hrcek_4_VA6_6; Hrcek_4_VA6_7; Hrcek_4_VA6_8; Hrcek_4_VA6_9",6,1,"4"
"Hrcek","NS",NA,"VA","VA9",4,"Hrcek_1_VA9_4; Hrcek_1_VA9_5; Hrcek_1_VA9_6; Hrcek_1_VA9_7",4,1,"1"
"Hrcek","NS",NA,"YE","YE11",6,"Hrcek_3_YE11_10; Hrcek_3_YE11_5; Hrcek_3_YE11_6; Hrcek_3_YE11_7; Hrcek_3_YE11_8; Hrcek_3_YE11_9",6,1,"3"
"Hrcek","NS",NA,"YE","YE19",6,"Hrcek_4_YE19_10; Hrcek_4_YE19_5; Hrcek_4_YE19_6; Hrcek_4_YE19_7; Hrcek_4_YE19_8; Hrcek_4_YE19_9",6,1,"4"
"Hrcek","NS",NA,"YE","YE20",6,"Hrcek_1_YE20_10; Hrcek_1_YE20_5; Hrcek_1_YE20_6; Hrcek_1_YE20_7; Hrcek_1_YE20_8; Hrcek_1_YE20_9",6,1,"1"
"Hrcek","NS",NA,"YE","YE23",6,"Hrcek_1_YE23_10; Hrcek_1_YE23_5; Hrcek_1_YE23_6; Hrcek_1_YE23_7; Hrcek_1_YE23_8; Hrcek_1_YE23_9",6,1,"1"
"Hrcek","NS",NA,"YE","YE24",5,"Hrcek_3_YE24_10; Hrcek_3_YE24_5; Hrcek_3_YE24_6; Hrcek_3_YE24_7; Hrcek_3_YE24_9",5,1,"3"
"Hrcek","NS",NA,"YE","YE26",6,"Hrcek_3_YE26_10; Hrcek_3_YE26_5; Hrcek_3_YE26_6; Hrcek_3_YE26_7; Hrcek_3_YE26_8; Hrcek_3_YE26_9",6,1,"3"
